allDay,dayOfWeek,startHour,endHour
false,7,1500,0
false,6,1500,0
false,5,1600,0
false,4,1600,0
false,3,1600,0
false,2,1700,0
false,1,1600,2200
false,7,1200,2300
false,6,1200,2300
false,5,1730,2230
false,4,1730,2200
false,3,1730,2200
false,2,1730,2200
false,1,1200,2200
false,7,900,2300
false,6,900,2300
false,5,1130,2300
false,4,1130,2300
false,3,1130,2300
false,1,900,2000
false,7,1100,2200
false,6,1100,2200
false,5,1100,2200
false,4,1100,2130
false,3,1100,2130
false,2,1100,2130
false,1,1100,2130
false,7,1400,0
false,6,1400,0
false,5,1600,2300
false,4,1600,2300
false,3,1600,2300
false,2,1600,2300
false,7,1000,300
false,6,1000,300
false,5,1000,300
false,4,1000,300
false,3,1000,300
false,2,1000,300
false,1,1000,2200
false,7,1200,0
false,6,1200,0
false,5,1700,0
false,4,1700,0
false,3,1700,0
false,2,1700,0
false,1,1200,2200
false,7,1100,0
false,6,1100,0
false,5,1100,2300
false,4,1100,2300
false,3,1100,2300
false,2,1100,2300
false,1,1100,2200
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1700,2145
false,6,1700,2145
false,6,1200,1430
false,5,1700,2145
false,5,1200,1430
false,4,1700,2145
false,4,1200,1430
false,3,1700,2145
false,1,1700,2145
false,7,1200,2300
false,6,1200,2300
false,5,1700,2300
false,4,1700,2300
false,3,1700,2300
false,7,1130,2300
false,6,1700,2300
false,6,1130,1500
false,5,1700,2200
false,4,1700,2200
false,3,1700,2200
false,1,1130,2130
false,7,1130,2200
false,6,1130,2200
false,5,1130,2200
false,4,1130,2200
false,3,1130,2200
false,2,1700,2200
false,1,1130,2200
false,7,1100,2300
false,6,1100,2300
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,1,1100,2200
false,7,1100,2100
false,6,1100,2100
false,5,1100,2000
false,4,1100,2000
false,3,1100,2000
false,2,1100,2000
false,1,1100,1900
false,7,1400,30
false,6,1600,30
false,5,1600,30
false,4,1600,2330
false,3,1600,2330
false,2,1600,2330
false,1,1400,2330
false,7,1000,2100
false,6,1000,2100
false,5,1000,2100
false,4,1000,2100
false,3,1000,2100
false,2,1000,2100
false,1,1000,2100
false,7,1700,2200
false,7,800,1430
false,6,1700,2200
false,6,800,1430
false,5,1700,2130
false,5,800,1400
false,4,1700,2130
false,4,800,1400
false,3,1700,2130
false,3,800,1400
false,2,1700,2130
false,2,800,1400
false,1,1700,2130
false,1,800,1430
false,7,800,1500
false,6,700,1700
false,5,700,1700
false,4,700,1700
false,3,700,1700
false,2,700,1700
false,7,1000,0
false,6,1000,0
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1000,2300
false,7,1000,200
false,6,1400,200
false,5,1400,200
false,4,1400,200
false,3,1400,200
false,2,1400,200
false,1,1000,200
false,7,1000,2100
false,6,1100,2100
false,5,1100,2100
false,4,1100,2100
false,3,1100,2100
false,2,1100,2100
false,1,1100,1800
false,7,1100,2200
false,6,1100,2200
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,1,1100,2200
false,7,1130,0
false,6,1730,0
false,6,1130,1430
false,5,1730,2230
false,5,1130,1430
false,4,1730,2230
false,4,1130,1430
false,3,1730,2230
false,3,1130,1430
false,2,1730,2230
false,2,1130,1430
false,1,1200,2100
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1600,2330
false,6,1700,2300
false,5,1700,2300
false,4,1700,2300
false,3,1700,2300
false,2,1700,2300
false,1,1600,2330
false,7,1200,0
false,6,1200,100
false,5,1200,100
false,4,1200,100
false,3,1200,0
false,2,1200,0
false,1,1200,2300
false,7,1130,2200
false,6,1130,2200
false,5,1130,2200
false,4,1130,2200
false,3,1130,2200
false,2,1130,2200
false,7,1600,100
false,6,1600,100
false,5,1700,100
false,4,1700,100
false,3,1700,100
false,2,1700,100
false,1,1600,2300
false,7,1130,300
false,6,1130,300
false,5,1130,100
false,4,1730,0
false,3,1730,0
false,2,1730,0
false,1,1130,0
false,7,1200,2330
false,6,1200,2330
false,5,1700,2230
false,4,1700,2230
false,1,1200,2230
false,7,1600,100
false,6,1600,100
false,5,1600,0
false,4,1700,2300
false,3,1700,2300
false,2,1700,2100
false,7,1200,2230
false,6,1200,2230
false,5,1200,2200
false,4,1200,2200
false,3,1200,2200
false,2,1200,2200
false,1,1200,2200
false,7,1100,2130
false,6,1100,2130
false,5,1100,2130
false,4,1100,2130
false,3,1100,2130
false,2,1100,2130
false,1,1100,2130
false,7,1000,1600
false,6,800,1800
false,5,800,1800
false,4,800,1800
false,3,800,1800
false,1,1000,1600
false,7,800,1530
false,6,700,1530
false,5,700,1530
false,4,700,1530
false,2,700,1530
false,1,800,1530
false,7,1800,2200
false,6,1800,2200
false,6,1130,1500
false,5,1800,2200
false,5,1130,1500
false,4,1800,2200
false,4,1130,1500
false,3,1800,2200
false,3,1130,1500
false,7,700,1500
false,6,700,1500
false,5,700,1500
false,4,700,1500
false,3,700,1500
false,2,700,1500
false,1,800,1500
false,7,1200,0
false,6,1200,0
false,5,1200,0
false,4,1200,0
false,3,1200,0
false,2,1200,0
false,1,1200,2300
false,7,1700,2300
false,7,800,1500
false,6,1700,2230
false,6,800,1500
false,5,1700,2200
false,5,800,1500
false,4,800,1500
false,3,800,1500
false,2,800,1500
false,1,900,1500
false,7,800,1600
false,6,700,1600
false,5,700,1600
false,4,700,1600
false,3,700,1600
false,2,700,1600
false,1,800,1600
false,6,630,1600
false,5,630,1600
false,4,630,1600
false,3,630,1600
false,2,630,1600
false,7,730,1630
false,6,730,1630
false,5,730,1630
false,3,730,1630
false,1,830,1500
false,7,700,1800
false,6,700,1800
false,5,700,1800
false,4,700,1800
false,3,700,1800
false,2,700,1800
false,1,700,1800
false,7,1130,2230
false,6,1130,2230
false,5,1130,2230
false,4,1130,2230
